target_user_id,gstat_user_len_mean,gstat_user_sr_max_share,gstat_question_ratio,gstat_caps_ratio,gstat_readability_fk,gstat_link_ratio,gstat_negation_ratio,gstat_subjectivity_ratio,gstat_emoticon_ratio,gstat_contraction_ratio,gstat_avg_word_len,gstat_long_word_ratio,gstat_stopword_ratio,gstat_rep_bigram_ratio,gstat_hour_entropy,gstat_nocturnal_ratio,gstat_circadian_mean,gstat_reply_delay_std
56,-0.297748,-1.05825,-1.29477,-0.080553,0.167571,-0.340121,0.29864,3.16389,-0.11019,0.0214928,-0.730146,-0.721998,-0.65104,-0.19466,-0.233462,0.14958,-0.929345,-0.545221
57,-0.562553,1.48833,0.145986,-0.0214246,-0.723136,-0.340121,-0.478963,-0.15713,0.0278222,-0.09699,-0.542263,-0.719478,0.388774,-0.575955,-3.39541,-1.8975,0.162314,-0.639396
58,0.949656,0.226307,0.256815,-0.963425,1.96379,-0.768325,1.3173,-0.841627,-0.418993,-1.23314,0.0799019,0.0219812,0.755396,1.65836,-1.24929,-0.259838,0.777634,-0.666613
59,0.84551,-0.647747,1.15881,-0.771855,0.344505,1.02511,-0.710772,-0.651573,-0.418993,-0.359709,0.48547,0.261333,1.34451,0.876099,-0.45238,-0.0458256,0.713358,-0.94882
60,-0.675518,-0.337096,0.810959,0.35361,-0.321391,0.587673,-0.931443,-0.21354,-0.33791,-0.169249,-0.392385,-0.307399,0.721434,-0.989467,0.157608,0.593116,-1.14231,-0.884131
61,-0.175768,-0.990641,-0.0756723,0.494953,0.61533,0.730413,-0.296961,0.0624542,-0.255103,-0.392442,0.670028,0.568035,0.227996,0.0677106,0.329418,0.183699,0.816444,0.148392
62,0.86957,-0.715679,0.379304,0.00940611,0.918842,0.451423,-1.1931,-0.456597,-0.418993,0.142428,1.8296,1.87807,1.73889,0.214147,-0.4199,0.536959,1.17009,-0.990617
63,-0.75496,-0.697671,1.58674,-0.386833,-0.768482,-0.126011,-0.0397221,0.503894,-0.244752,-1.77782,-0.39742,0.0674158,-0.804955,-0.553296,1.25274,0.593116,-1.1423,-0.630876
64,-0.786229,-0.517384,0.810959,1.85729,-0.17515,-0.554215,-1.4661,0.554626,-0.0705116,0.0810171,0.843534,0.866603,-0.63368,-1.46795,1.45808,-0.0551255,0.922385,-0.659147
65,0.234117,1.60101,-1.29477,-0.853564,1.61238,0.516303,-0.340465,0.0121013,-0.374139,0.693807,0.543134,0.696854,1.13726,0.0983597,-1.13377,0.866059,-1.14002,-0.419002
66,0.283698,-0.652598,0.478473,-0.872091,1.15295,-0.554215,-1.56584e-06,-0.531937,-0.418993,-0.620918,-0.211685,0.0277086,1.28582,0.333145,-2.15403,-1.82926,0.363731,-0.846761
67,-0.590724,-0.156804,1.91923,-0.56382,-0.419045,-0.554215,0.680296,-0.0299225,-0.418993,0.811158,0.945057,1.21343,-0.379341,-1.30485,0.316872,0.900178,0.983233,-0.60801
68,0.393753,0.0995024,1.15881,-0.117427,0.0371883,1.24024,0.855361,-0.573583,0.428058,0.246101,0.532805,0.539857,0.106073,0.70191,1.49297,0.0227413,1.07737,-0.202541
70,1.69167,-0.697671,-0.962281,-0.797765,1.82707,0.873153,0.141648,-0.913559,-0.418993,0.0645088,1.51372,1.29235,1.24641,1.09904,0.660371,-0.601018,-0.317148,-0.768637
71,-0.416929,-0.324309,0.167304,0.360232,0.0150284,2.90784,-1.21537,-1.14942,-0.225775,-0.994101,0.216842,0.15042,1.27609,0.476702,-0.426997,1.89255,-1.64356,-0.548012
72,0.0732619,-0.990641,0.256815,0.00799484,-0.0782148,0.516303,0.984401,-0.494078,-0.279255,1.27858,0.97086,1.1412,-0.017312,0.16785,1.33014,-0.259838,0.875576,-0.0553418
73,0.0377667,-0.584993,-1.29477,-0.366352,1.12784,-0.340121,0.958972,-0.635293,-0.370688,1.15632,0.67561,0.788296,0.587653,-0.145282,0.450088,0.0131048,0.996655,0.115798
74,0.106785,-0.584993,-0.962281,-0.0118714,-0.161992,-0.340121,-0.319449,0.16846,-0.324109,0.188557,-0.287319,-0.305108,0.13827,0.362244,0.696337,0.286055,1.14975,-0.903343
